Filter,SCA,PHOTMJSR,zp_vega,vega_Jy,zp_vega-sirius,vega-sirius_Jy,zp_AB,mean_pix_sr
F2100M,NRCB2,4.599,24.54,687.62,24.55,694.92,28.0,2.2875e-14
F2100M,NRCB3,4.583,24.57,688.18,24.58,695.51,28.02,2.2402e-14
F2100M,NRCB4,4.221,24.62,688.35,24.64,695.68,27.99,2.3067e-14
F1640N+F1500W2,NRCA1,48.251,22.4,985.73,22.41,996.82,28.02,2.2433e-14
F1640N+F1500W2,NRCA2,51.082,22.34,985.73,22.36,996.82,28.03,2.2266e-14
F1640N+F1500W2,NRCA3,46.367,22.43,985.74,22.44,996.82,28.01,2.2647e-14
F1640N+F1500W2,NRCA4,44.535,22.48,985.74,22.5,996.83,28.02,2.2458e-14
F1640N+F1500W2,NRCB1,51.354,22.34,985.61,22.35,996.69,28.03,2.2219e-14
F1640N+F1500W2,NRCB2,47.634,22.39,985.62,22.4,996.7,28.0,2.2875e-14
F1640N+F1500W2,NRCB3,49.457,22.37,985.61,22.39,996.69,28.02,2.2402e-14
F1640N+F1500W2,NRCB4,42.417,22.51,985.61,22.52,996.69,27.99,2.3067e-14
F1870N,NRCA1,43.134,22.29,795.81,22.3,802.17,28.02,2.2433e-14
F1870N,NRCA2,45.898,22.23,795.83,22.24,802.2,28.03,2.2266e-14
F1870N,NRCA3,41.501,22.32,795.8,22.33,802.17,28.01,2.2647e-14
F1870N,NRCA4,40.0,22.37,795.8,22.38,802.16,28.02,2.2458e-14
F1870N,NRCB1,45.453,22.24,793.2,22.25,799.33,28.03,2.2219e-14
F1870N,NRCB2,43.657,22.25,793.2,22.26,799.33,28.0,2.2875e-14
F1870N,NRCB3,43.972,22.26,793.21,22.27,799.35,28.02,2.2402e-14
F1870N,NRCB4,39.776,22.34,793.22,22.35,799.35,27.99,2.3067e-14
F2120N,NRCA1,41.147,22.16,674.37,22.17,682.02,28.02,2.2433e-14
F2120N,NRCA2,44.852,22.07,674.4,22.09,682.05,28.03,2.2266e-14
F2120N,NRCA3,39.321,22.2,674.36,22.21,682.02,28.01,2.2647e-14
F2120N,NRCA4,38.873,22.22,674.36,22.23,682.01,28.02,2.2458e-14
